,predicted_scores,similarity_scores
rxn00095_c,0.9999915380000001,0.617224860180914
rxn25164_c,0.999991276,0.5
rxn16718_c,0.999990844,0.48783614383551055
rxn18043_c,0.9999904220000001,0.6123724356957947
rxn00275_c,0.9999875040000001,0.5000072207900979
rxn23157_c,0.9999868519999999,0.47580022179918835
rxn23156_c,0.9999868519999999,0.47580022179918835
rxn11395_c,0.999985,0.9486832980505138
rxn00140_c,0.9999843079999999,0.7071527374977165
rxn00164_c,0.999983648,0.75
rxn26140_c,0.999983248,0.7559429883885416
rxn11734_c,0.9999831480000001,0.5669572365014737
rxn00194_c,0.9999829800000001,0.6859943405700353
rxn34203_c,0.9999826539999999,0.6499365964942583
rxn05525_c,0.999982388,0.6499365964942582
rxn08137_c,0.99998226,0.4472252209492351
rxn00647_c,0.99998217,0.5000072207900979
rxn00413_c,0.999981858,0.6708087700678467
rxn05064_c,0.9999817459999999,0.867109461152019
rxn09559_c,0.9999812899999998,0.6396172641463892
rxn00279_c,0.9999810800000001,0.75
rxn05469_c,0.999980946,0.6499365964942582
rxn00127_c,0.9999808980000001,0.6859943405700353
rxn05497_c,0.9999808760000001,0.6499365964942582
rxn00168_c,0.9999806720000001,0.7559429820019652
rxn29784_c,0.99998024,0.7427846817077237
rxn29791_c,0.99998024,0.6388796153123235
rxn29068_c,0.9999799280000001,0.8221119918478651
rxn05297_c,0.9999799280000001,0.6499365964942582
rxn00204_c,0.999979924,0.8273500796728136
rxn38853_c,0.999979548,0.8749837514623714
rxn00228_c,0.9999793520000001,0.6708378314238513
rxn00265_c,0.999979308,0.4714249451544965
rxn09696_c,0.999979108,0.6499365964942582
rxn29852_c,0.9999787720000001,0.6388796153123235
rxn00163_c,0.9999787619999999,0.6708378314238516
rxn01916_c,0.9999784499999999,0.7071527374977172
rxn00130_c,0.9999782399999999,0.6741903028927418
rxn10693_c,0.999978062,0.5555020622729302
rxn00230_c,0.9999780580000002,0.5669572365014737
rxn05630_c,0.999977848,0.6499365964942582
rxn19345_c,0.999977788,0.6123724356957946
rxn16626_c,0.999977756,0.8318966909957098
rxn12206_c,0.999977612,0.6859943405700353
rxn00260_c,0.9999774740000001,0.5000072207900979
rxn07200_c,0.9999774479999999,0.8018135013839487
rxn14245_c,0.999977136,0.6708378314238521
rxn29855_c,0.999977132,0.6499365964942582
rxn00133_c,0.999977088,0.6324308699302441
rxn00157_c,0.9999765400000001,0.6123724356957946
rxn11158_c,0.999976492,0.7071067811865475
rxn27537_c,0.999976492,0.8660028882722307
rxn00207_c,0.999976258,0.6804236436904832
rxn05488_c,0.999976252,0.6499365964942582
rxn07846_c,0.99997623,0.8320170129917028
rxn00009_c,0.99997623,0.7559429883885451
rxn20508_c,0.9999761639999999,0.6123724356957946
rxn00174_c,0.999975908,0.6859943405700353
rxn00136_c,0.9999757559999999,0.6324308699302441
rxn00135_c,0.9999757559999999,0.6324308699302441
rxn34006_c,0.999975302,0.5547057420902882
rxn00226_c,0.999975092,0.5256989559627193
rxn00176_c,0.999974594,0.5477367957145449
rxn25799_c,0.99997446,0.5000072207900979
rxn05887_c,0.9999744500000001,0.801813501383949
rxn34247_c,0.999974424,0.6499365964942583
rxn10591_c,0.9999744140000001,0.5669572365014737
rxn05465_c,0.9999744100000001,0.5477367957145451
rxn00365_c,0.9999738879999999,0.6708015015407099
rxn37154_c,0.9999738740000002,0.5714431045394571
rxn00287_c,0.9999738059999999,0.6324308699302438
rxn00067_c,0.9999737459999999,0.6681394579494898
rxn00234_c,0.9999736799999999,0.5163664561593054
rxn00614_c,0.9999732659999999,0.6030298143460753
rxn00106_c,0.99997317,0.7878191753281284
rxn34022_c,0.999973132,0.8683574916408737
rxn04960_c,0.9999731319999998,0.5773877923605677
rxn10792_c,0.9999731040000001,1.0
rxn38855_c,0.9999730079999999,0.8749837514623713
rxn15696_c,0.9999729199999999,0.5163664561593039
rxn21408_c,0.9999727980000002,0.5256989559627193
rxn00366_c,0.999972766,0.787819175328127
