ID	Name	Equation	Definition	Genes
rxn01734_c0	Succinyl-CoA:citramalate CoA-transferase_c0	(1) cpd00067[c0] + (1) cpd00078[c0] + (1) cpd00380[c0] <=> (1) cpd00036[c0] + (1) cpd00416[c0]	(1) H+_c0[c0] + (1) Succinyl-CoA_c0[c0] + (1) Itaconate_c0[c0] <=> (1) Succinate_c0[c0] + (1) Itaconyl-CoA_c0[c0]	(fig|6666666.1394842.peg.1661 or fig|6666666.1394842.peg.317)
rxn02201_c0	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0	(1) cpd00443[c0] + (1) cpd02920[c0] => (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00683[c0]	(1) ABEE_c0[c0] + (1) 2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate_c0[c0] => (1) PPi_c0[c0] + (1) H+_c0[c0] + (1) Dihydropteroate_c0[c0]	(fig|6666666.1394842.peg.2839 or fig|6666666.1394842.peg.835)
rxn00836_c0	IMP:diphosphate phospho-D-ribosyltransferase_c0	(1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00114[c0] <= (1) cpd00103[c0] + (1) cpd00226[c0]	(1) PPi_c0[c0] + (1) H+_c0[c0] + (1) IMP_c0[c0] <= (1) PRPP_c0[c0] + (1) HYXN_c0[c0]	fig|6666666.1394842.peg.2842
rxn00390_c0	N-Acyl-L-aspartate amidohydrolase_c0	(1) cpd00001[c0] + (1) cpd01759[c0] <=> (1) cpd00041[c0] + (1) cpd00049[c0]	(1) H2O_c0[c0] + (1) N-Acyl-L-aspartate_c0[c0] <=> (1) L-Aspartate_c0[c0] + (1) Carboxylic acid_c0[c0]	fig|6666666.1394842.peg.2607
rxn08180_c0	Biotin synthase_c0	(1) cpd00017[c0] + (1) cpd00074[c0] + (1) cpd01311[c0] => (1) cpd00060[c0] + (1) cpd00067[c0] + (1) cpd00104[c0] + (1) cpd03091[c0]	(1) S-Adenosyl-L-methionine_c0[c0] + (1) S_c0[c0] + (1) Dethiobiotin_c0[c0] => (1) L-Methionine_c0[c0] + (1) H+_c0[c0] + (1) BIOT_c0[c0] + (1) 5'-Deoxyadenosine_c0[c0]	fig|6666666.1394842.peg.99
rxn00423_c0	acetyl-CoA:L-serine O-acetyltransferase_c0	(1) cpd00022[c0] + (1) cpd00054[c0] => (1) cpd00010[c0] + (1) cpd00722[c0]	(1) Acetyl-CoA_c0[c0] + (1) L-Serine_c0[c0] => (1) CoA_c0[c0] + (1) O-Acetyl-L-serine_c0[c0]	fig|6666666.1394842.peg.2698
rxn00364_c0	ATP:CMP phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00046[c0] + (1) cpd00067[c0] <=> (1) cpd00008[c0] + (1) cpd00096[c0]	(1) ATP_c0[c0] + (1) CMP_c0[c0] + (1) H+_c0[c0] <=> (1) ADP_c0[c0] + (1) CDP_c0[c0]	fig|6666666.1394842.peg.1563
rxn05561_c0	Transport of dicarboxylates, extracellular_c0	(1) cpd00067[e0] + (1) cpd00106[e0] <=> (1) cpd00067[c0] + (1) cpd00106[c0]	(1) H+_e0[e0] + (1) Fumarate_e0[e0] <=> (1) H+_c0[c0] + (1) Fumarate_c0[c0]	fig|6666666.1394842.peg.2369
rxn03408_c0	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase_c0	(1) cpd00037[c0] + (1) cpd03494[c0] <=> (1) cpd00014[c0] + (1) cpd03495[c0]	(1) UDP-N-acetylglucosamine_c0[c0] + (1) Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine_c0[c0] <=> (1) UDP_c0[c0] + (1) Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala_c0[c0]	fig|6666666.1394842.peg.2187
rxn05250_c0	FACOAL160(ISO)_c0	(1) cpd00002[c0] + (1) cpd00010[c0] + (1) cpd11440[c0] => (1) cpd00012[c0] + (1) cpd00018[c0] + (1) cpd11441[c0]	(1) ATP_c0[c0] + (1) CoA_c0[c0] + (1) fa6_c0[c0] => (1) PPi_c0[c0] + (1) AMP_c0[c0] + (1) fa6coa_c0[c0]	(fig|6666666.1394842.peg.467 or fig|6666666.1394842.peg.2323 or fig|6666666.1394842.peg.339)
